"Contig"	"popLRT"	"popQ"	"popQsig"
"339"	"Contig10301"	"0.946865893004931"	1	FALSE
"340"	"Contig10302"	"1"	1	FALSE
"341"	"Contig10303"	"3.38000579508263e-05"	0.000751955791611821	TRUE
"342"	"Contig10304"	"0.0130653840036092"	0.0715171299259142	FALSE
"343"	"Contig10305"	"0.410299458695053"	1	FALSE
"344"	"Contig10306"	"0.011579690099993"	0.065237349827835	FALSE
"345"	"Contig10307"	"0.000116993048046673"	0.00193165145129875	TRUE
"346"	"Contig10308"	"0.286521563500721"	0.782207841948195	FALSE
"347"	"Contig10309"	"1"	1	FALSE
"348"	"Contig1031"	"0.0114755162286462"	0.0648049141529619	FALSE
"349"	"Contig10310"	"1"	1	FALSE
"350"	"Contig10311"	"1"	1	FALSE
"351"	"Contig10312"	"1"	1	FALSE
"352"	"Contig10313"	"0.000850497357018082"	0.0088236570409166	TRUE
"353"	"Contig10314"	"1"	1	FALSE
"354"	"Contig10315"	"0.290554977256163"	0.791201558771981	FALSE
"355"	"Contig10316"	"1"	1	FALSE
"356"	"Contig10317"	"1"	1	FALSE
"357"	"Contig10318"	"1"	1	FALSE
"358"	"Contig10319"	"1"	1	FALSE
"359"	"Contig1032"	"8.97013436031209e-05"	0.00157886783733396	TRUE
"360"	"Contig10320"	"1"	1	FALSE
"361"	"Contig10321"	"0.0103237861272959"	0.0599313855243631	FALSE
"362"	"Contig10322"	"5.13600612632091e-05"	0.00103438824373798	TRUE
"363"	"Contig10323"	"1"	1	FALSE
"364"	"Contig10324"	"0.753104818832712"	1	FALSE
"365"	"Contig10325"	"0.00788092698907071"	0.0485407226115742	TRUE
"366"	"Contig10326"	"0.343210463436848"	0.902761867274578	FALSE
"367"	"Contig10327"	"0.202657924681606"	0.597112828533218	FALSE
"368"	"Contig10328"	"0.508739562659707"	1	FALSE
"369"	"Contig10329"	"1"	1	FALSE
"370"	"Contig1033"	"0.713842944978995"	1	FALSE
"371"	"Contig10330"	"1"	1	FALSE
"372"	"Contig10331"	"0.497878594464334"	1	FALSE
"373"	"Contig10332"	"1"	1	FALSE
"374"	"Contig10333"	"0.0591145831737884"	0.230505324191518	FALSE
"375"	"Contig10334"	"0.00646644674405812"	0.041651725365147	TRUE
"376"	"Contig10335"	"0.080417545966322"	0.29198550157963	FALSE
"377"	"Contig10336"	"0.81217965297497"	1	FALSE
"378"	"Contig10337"	"1"	1	FALSE
"379"	"Contig10338"	"1"	1	FALSE
"380"	"Contig10339"	"0.590224538241422"	1	FALSE
"381"	"Contig1034"	"0.00139594002461189"	0.012804125065672	TRUE
"382"	"Contig10340"	"1"	1	FALSE
"383"	"Contig10341"	"0.0221381868790714"	0.108103998248586	FALSE
"384"	"Contig10342"	"0.104107602603655"	0.356453029304014	FALSE
"385"	"Contig10343"	"1"	1	FALSE
"386"	"Contig10344"	"1"	1	FALSE
"387"	"Contig10345"	"0.524391940983251"	1	FALSE
"388"	"Contig10346"	"1"	1	FALSE
"389"	"Contig10347"	"1"	1	FALSE
"390"	"Contig10348"	"1"	1	FALSE
"391"	"Contig10349"	"0.998799235226488"	1	FALSE
"392"	"Contig1035"	"1"	1	FALSE
"393"	"Contig10350"	"0.0140993570785572"	0.0761011114772576	FALSE
