"Contig"	"InvExprVal"	"NatExprVal"	"InvUp"	"OriginsEq"	"InvDefUp"	"InvDefDn"
"337"	"DKUS022_white_c19102"	10.0185733027071	10.5174926301253	FALSE	FALSE	FALSE	FALSE
"339"	"DKUS022_white_c19723"	9.3770945961891	9.75409739461177	FALSE	FALSE	FALSE	FALSE
"341"	"DKUS022_white_c20006"	11.6804250153826	10.7576341340592	TRUE	FALSE	TRUE	TRUE
"343"	"DKUS022_white_c20102"	12.712124324262	13.3172114268707	FALSE	FALSE	FALSE	FALSE
"345"	"DKUS022_white_c20103"	6.35287894891052	5.3907172522689	TRUE	FALSE	TRUE	TRUE
"347"	"DKUS022_white_c20168"	7.31056198943764	7.4501999822264	FALSE	FALSE	FALSE	FALSE
"349"	"DKUS022_white_c20271"	11.8629070117083	11.7838815790118	TRUE	TRUE	FALSE	TRUE
"351"	"DKUS022_white_c20475"	12.7637876765391	13.0092841559935	FALSE	FALSE	FALSE	FALSE
"353"	"DKUS022_white_c20512"	10.2673456771117	8.57568048385803	TRUE	FALSE	TRUE	TRUE
"355"	"DKUS022_white_c20873"	4.61889112802268	5.15953930454669	FALSE	FALSE	FALSE	FALSE
"357"	"DKUS022_white_c20987"	10.1036479152472	11.4001630917926	FALSE	FALSE	FALSE	FALSE
"359"	"DKUS022_white_c21041"	8.46813752903829	6.34579477097309	TRUE	FALSE	TRUE	TRUE
"361"	"DKUS022_white_c21084"	11.7307983974077	11.4028533770875	TRUE	FALSE	TRUE	TRUE
"363"	"DKUS022_white_c21348"	8.36683342924721	5.42684270088248	TRUE	FALSE	TRUE	TRUE
"365"	"DKUS022_white_c21484"	11.6402463330869	12.2439790706968	FALSE	FALSE	FALSE	FALSE
"367"	"DKUS022_white_c21691"	10.3722364316929	9.40822090253428	TRUE	FALSE	TRUE	TRUE
"369"	"DKUS022_white_c21767"	10.6973159939505	11.1298970687345	FALSE	FALSE	FALSE	FALSE
"371"	"DKUS022_white_c22121"	8.94104566357263	8.18690414252529	TRUE	FALSE	TRUE	TRUE
"373"	"DKUS022_white_c22327"	12.1362421147694	11.7969975995043	TRUE	FALSE	TRUE	TRUE
"375"	"DKUS022_white_c2244"	6.86593108536744	7.78294658207439	FALSE	FALSE	FALSE	FALSE
"377"	"DKUS022_white_c22720"	6.05372302586255	6.44052596339371	FALSE	FALSE	FALSE	FALSE
"379"	"DKUS022_white_c2375"	10.1790782076612	10.4296994784512	FALSE	FALSE	FALSE	FALSE
"381"	"DKUS022_white_c23912"	9.09403247649936	7.97728696098148	TRUE	FALSE	TRUE	TRUE
"383"	"DKUS022_white_c24013"	12.2263541069445	12.8141736763818	FALSE	FALSE	FALSE	FALSE
"385"	"DKUS022_white_c24050"	7.89095342964613	7.04433738132911	TRUE	FALSE	TRUE	TRUE
"387"	"DKUS022_white_c24391"	10.9013040344577	10.6208268057872	TRUE	FALSE	TRUE	TRUE
"389"	"DKUS022_white_c24452"	12.2619546388885	11.3992256235979	TRUE	FALSE	TRUE	TRUE
"391"	"DKUS022_white_c24582"	8.58824180736588	8.13236938360265	TRUE	FALSE	TRUE	TRUE
"393"	"DKUS022_white_c24750"	6.24042895261773	6.44662913691785	FALSE	FALSE	FALSE	FALSE
"395"	"DKUS022_white_c24865"	7.05574539230245	7.80164041173536	FALSE	FALSE	FALSE	FALSE
"397"	"DKUS022_white_c24875"	9.69372095408871	9.45158057760749	TRUE	FALSE	TRUE	TRUE
"399"	"DKUS022_white_c24970"	8.2911868383665	5.65650628847786	TRUE	FALSE	TRUE	TRUE
"401"	"DKUS022_white_c25087"	4.49779993130417	4.1184760894333	TRUE	FALSE	TRUE	TRUE
"403"	"DKUS022_white_c25505"	12.4313331155888	12.7297244620825	FALSE	FALSE	FALSE	FALSE
"405"	"DKUS022_white_c26029"	6.08362031750548	6.96177052280255	FALSE	FALSE	FALSE	FALSE
"407"	"DKUS022_white_c26200"	12.3531357974764	12.8717024893357	FALSE	FALSE	FALSE	FALSE
"409"	"DKUS022_white_c26457"	11.1357911514278	11.3497278285808	FALSE	FALSE	FALSE	FALSE
"411"	"DKUS022_white_c26634"	7.01357864213548	7.42339520858245	FALSE	FALSE	FALSE	FALSE
"413"	"DKUS022_white_c27044"	11.0303723437955	10.8409429182674	TRUE	FALSE	TRUE	TRUE
"415"	"DKUS022_white_c27115"	11.2564901872777	11.6189492826497	FALSE	FALSE	FALSE	FALSE
"417"	"DKUS022_white_c27850"	5.72329752671084	4.61884732504436	TRUE	FALSE	TRUE	TRUE
"419"	"DKUS022_white_c27870"	9.99661445524786	10.5413643786945	FALSE	FALSE	FALSE	FALSE
"421"	"DKUS022_white_c28323"	6.41673848270404	5.0583110805554	TRUE	FALSE	TRUE	TRUE
"423"	"DKUS022_white_c28583"	8.56185082558537	9.75075590857789	FALSE	FALSE	FALSE	FALSE
"425"	"DKUS022_white_c28602"	12.1800869700687	12.6301751674929	FALSE	FALSE	FALSE	FALSE
"427"	"DKUS022_white_c28942"	7.52731490672671	9.28272738329898	FALSE	FALSE	FALSE	FALSE
"429"	"DKUS022_white_c29192"	13.7819620738448	14.072441948102	FALSE	FALSE	FALSE	FALSE
"431"	"DKUS022_white_c29220"	9.24735170057709	8.64470492350675	TRUE	FALSE	TRUE	TRUE
"433"	"DKUS022_white_c29387"	8.73530455166295	9.44521701687306	FALSE	FALSE	FALSE	FALSE
"435"	"DKUS022_white_c29649"	4.06795170166052	3.66070298006074	TRUE	FALSE	TRUE	TRUE
"437"	"DKUS022_white_c29714"	5.19969065004699	6.33589346833603	FALSE	FALSE	FALSE	FALSE
"439"	"DKUS022_white_c30090"	11.1309539901421	11.5051081512857	FALSE	FALSE	FALSE	FALSE
"441"	"DKUS022_white_c30408"	12.0302365745271	11.8501744900129	TRUE	FALSE	TRUE	TRUE
"443"	"DKUS022_white_c30682"	11.415192954702	9.89919441524727	TRUE	FALSE	TRUE	TRUE
"445"	"DKUS022_white_c31050"	10.0800565420988	9.76468879484494	TRUE	FALSE	TRUE	TRUE
"447"	"DKUS022_white_c31116"	11.8325608785559	12.1210212606349	FALSE	FALSE	FALSE	FALSE
"449"	"DKUS022_white_c31331"	10.2972705930515	10.7083082417387	FALSE	FALSE	FALSE	FALSE
"451"	"DKUS022_white_c31411"	5.72451774182097	6.35861359489822	FALSE	FALSE	FALSE	FALSE
"453"	"DKUS022_white_c31851"	13.6291022745446	14.1069835578823	FALSE	FALSE	FALSE	FALSE
"455"	"DKUS022_white_c31911"	4.62729605640993	4.56029432733995	TRUE	TRUE	FALSE	TRUE
"457"	"DKUS022_white_c32056"	10.8020762002584	11.148152894833	FALSE	FALSE	FALSE	FALSE
"459"	"DKUS022_white_c32147"	10.3920154581088	10.9019879309268	FALSE	FALSE	FALSE	FALSE
"461"	"DKUS022_white_c32267"	9.77670840220527	9.5370576569077	TRUE	FALSE	TRUE	TRUE
"463"	"DKUS022_white_c32371"	11.2636510903115	11.5021422058442	FALSE	FALSE	FALSE	FALSE
"465"	"DKUS022_white_c33053"	8.75249606093486	9.30329957591597	FALSE	FALSE	FALSE	FALSE
"467"	"DKUS022_white_c33615"	4.63891633075095	5.3445973712017	FALSE	FALSE	FALSE	FALSE
"469"	"DKUS022_white_c33681"	5.29716731478038	4.90460808903715	TRUE	FALSE	TRUE	TRUE
"471"	"DKUS022_white_c33697"	8.02060282010283	8.7853656974958	FALSE	FALSE	FALSE	FALSE
"473"	"DKUS022_white_c33845"	10.9362535669826	10.9665889000353	FALSE	TRUE	FALSE	TRUE
"475"	"DKUS022_white_c33864"	9.92409024971548	10.3843830080709	FALSE	FALSE	FALSE	FALSE
"477"	"DKUS022_white_c34235"	11.1906278384473	11.8189178212284	FALSE	FALSE	FALSE	FALSE
"479"	"DKUS022_white_c34303"	6.93126091011838	4.9068129220175	TRUE	FALSE	TRUE	TRUE
"481"	"DKUS022_white_c34385"	6.03107880673607	7.23572969711403	FALSE	FALSE	FALSE	FALSE
"483"	"DKUS022_white_c34441"	7.2608527111722	5.23958823919305	TRUE	FALSE	TRUE	TRUE
"485"	"DKUS022_white_c34662"	8.71516299603964	8.28283116407624	TRUE	FALSE	TRUE	TRUE
"487"	"DKUS022_white_c35154"	10.2639277681838	9.85017251488536	TRUE	FALSE	TRUE	TRUE
"489"	"DKUS022_white_c3516"	10.4805250996007	8.6979734963526	TRUE	FALSE	TRUE	TRUE
"491"	"DKUS022_white_c35283"	5.02838038480075	4.41079408330505	TRUE	FALSE	TRUE	TRUE
"493"	"DKUS022_white_c35907"	9.02839593612916	8.32600041963992	TRUE	FALSE	TRUE	TRUE
"495"	"DKUS022_white_c3595"	11.8447008902304	11.3058429224885	TRUE	FALSE	TRUE	TRUE
"497"	"DKUS022_white_c35976"	8.96032972852226	9.80714274472067	FALSE	FALSE	FALSE	FALSE
"499"	"DKUS022_white_c36227"	6.44054622956684	4.61686404259347	TRUE	FALSE	TRUE	TRUE
"501"	"DKUS022_white_c3627"	11.0623345651473	10.9069510400044	TRUE	FALSE	TRUE	TRUE
"503"	"DKUS022_white_c36626"	9.04288216666313	8.28032356871873	TRUE	FALSE	TRUE	TRUE
"505"	"DKUS022_white_c37013"	13.5253688231923	13.2770134066903	TRUE	FALSE	TRUE	TRUE
"507"	"DKUS022_white_c37086"	6.54045126622946	5.48194132766046	TRUE	FALSE	TRUE	TRUE
"509"	"DKUS022_white_c37101"	7.78236630018932	8.07078242362721	FALSE	FALSE	FALSE	FALSE
"511"	"DKUS022_white_c37359"	10.1697612133663	10.9969790840954	FALSE	FALSE	FALSE	FALSE
"513"	"DKUS022_white_c37573"	8.01029140380514	5.83881625414687	TRUE	FALSE	TRUE	TRUE
"515"	"DKUS022_white_c37743"	9.20094972753111	8.45360316529018	TRUE	FALSE	TRUE	TRUE
"517"	"DKUS022_white_c37771"	8.62511751105969	10.4089621299665	FALSE	FALSE	FALSE	FALSE
"519"	"DKUS022_white_c37856"	12.2573401938149	12.4901489128725	FALSE	FALSE	FALSE	FALSE
"521"	"DKUS022_white_c38085"	12.7845288424335	13.0865931711641	FALSE	FALSE	FALSE	FALSE
"523"	"DKUS022_white_c38128"	6.17710481258361	7.69409102807427	FALSE	FALSE	FALSE	FALSE
"525"	"DKUS022_white_c38150"	12.596781984793	11.7438508450177	TRUE	FALSE	TRUE	TRUE
"527"	"DKUS022_white_c38404"	5.50064828813543	6.69028786813396	FALSE	FALSE	FALSE	FALSE
"529"	"DKUS022_white_c38431"	10.0676648780754	10.066436620966	TRUE	TRUE	FALSE	TRUE
"531"	"DKUS022_white_c38489"	4.23349942607286	4.60982249969397	FALSE	FALSE	FALSE	FALSE
"533"	"DKUS022_white_c38860"	12.5067793867241	11.2573605391502	TRUE	FALSE	TRUE	TRUE
"535"	"DKUS022_white_c38873"	4.89153425205899	5.75948361236127	FALSE	FALSE	FALSE	FALSE
"537"	"DKUS022_white_c39068"	5.23490463758325	4.08274953471987	TRUE	FALSE	TRUE	TRUE
"539"	"DKUS022_white_c39100"	8.20508091213445	8.69687037814991	FALSE	FALSE	FALSE	FALSE
"541"	"DKUS022_white_c39108"	9.73198546797018	8.94665999505237	TRUE	FALSE	TRUE	TRUE
